element,sp_num,obs_wl_vac(nm),unc_obs_wl,intens,Aki(s^-1),Acc,Ei(cm-1),Ek(cm-1),conf_i,term_i,J_i,conf_k,term_k,J_k,Type,
Na,1,"=""894.542""","=""0.002""","=""2*""","=""3.71e+05""",C',"=""29172.837""","=""[40351.761]""","=""2p6.3d""","=""2D""","=""5/2""","=""2p6.10f""","=""2F*""","=""7/2""",,
Na,1,"=""894.542""","=""0.002""","=""2*""","=""2.47e+04""",C',"=""29172.837""","=""[40351.761]""","=""2p6.3d""","=""2D""","=""5/2""","=""2p6.10f""","=""2F*""","=""5/2""",,
Fe,1,"=""894.55186""","=""0.00024""","=""102""","=""""",,"=""22838.323""","=""34017.103""","=""3d7.(4P).4s""","=""b 3P""","=""2""","=""3d7.(4F).4p""","=""y 5D*""","=""1""",,
Fe,1,"=""894.76453""","=""0.00024""","=""1170""","=""""",,"=""40594.432""","=""51770.557""","=""3d6.(5D).4s.4p.(1P*)""","=""x 5F*""","=""4""","=""3d6.(5D).4s (4D).5s""","=""g 5D""","=""3""",,
Fe,1,"=""894.87174""","=""0.00024""","=""56""","=""""",,"=""22946.816""","=""34121.603""","=""3d7.(4P).4s""","=""b 3P""","=""1""","=""3d7.(4F).4p""","=""y 5D*""","=""0""",,
Fe,1,"=""895.26455""","=""0.00024""","=""65""","=""""",,"=""33507.123""","=""44677.006""","=""3d7.(4F).4p""","=""y 5D*""","=""3""","=""3d6.(5D).4s (6D).5s""","=""e 5D""","=""4""",,
Fe,1,"=""895.3072""","=""0.0006""","=""68""","=""""",,"=""43210.025""","=""54379.384""","=""3d6.(3H).4s.4p.(3P*)""","=""y 5G*""","=""2""","=""3d7.(4F).4d""","=""e 3G""","=""3""",,
Fe,1,"=""895.63684""","=""0.00008""","=""720""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",,
Fe,1,"=""895.73969""","=""0.00024""","=""65""","=""""",,"=""20641.110""","=""31805.071""","=""3d6.4s2""","=""b 3F2""","=""4""","=""3d6.(5D).4s.4p.(3P*)""","=""z 3F*""","=""3""",,
Fe,1,"=""896.2341""","=""0.0006""","=""51""","=""""",,"=""43108.917""","=""54266.716""","=""3d6.(3H).4s.4p.(3P*)""","=""z 5H*""","=""4""","=""3d7.(4F).4d""","=""e 3H""","=""5""",,
Fe,1,"=""896.3818""","=""0.0006""","=""35""","=""""",,"=""40052.035""","=""51207.998""","=""3d5.(6S).4s2.4p""","=""y 7P*""","=""2""","=""3d6.(5D).4s (6D).4d""","=""e 7F""","=""1""",,
Fe,1,"=""897.1879""","=""0.0006""","=""12""","=""""",,"=""25899.989""","=""37045.934""","=""3d6.(5D).4s.4p.(3P*)""","=""z 5D*""","=""4""","=""3d7.(2F).4s""","=""d 3F""","=""4""",,
Fe,1,"=""897.3926""","=""0.0006""","=""24""","=""""",,"=""40207.091""","=""51350.492""","=""3d5.(6S).4s2.4p""","=""y 7P*""","=""3""","=""3d6.(5D).4s (4D).5s""","=""g 5D""","=""4""",,
Fe,1,"=""897.78641""","=""0.00024""","=""790""","=""5.59e+04""",C,"=""24118.819""","=""35257.324""","=""3d6.4s2""","=""b 3G""","=""4""","=""3d7.(4F).4p""","=""z 5G*""","=""4""",,
Fe,1,"=""898.0661""","=""0.0006""","=""28""","=""""",,"=""27543.003""","=""38678.039""","=""3d7.(2P).4s""","=""a 1P""","=""1""","=""3d7.(4F).4p""","=""y 3D*""","=""2""",,
Fe,1,"=""898.73546""","=""0.00024""","=""234""","=""""",,"=""41130.599""","=""52257.346""","=""3d6.(5D).4s.4p.(1P*)""","=""x 5F*""","=""1""","=""3d6.(5D).4s (4D).5s""","=""g 5D""","=""0""",,
Ti,1,"=""898.736""","=""0.002""","=""2q""","=""""",,"=""27355.061""","=""38481.773""","=""3d2.(1D).4s.4p.(3P*)""","=""x 3D*""","=""1""","=""3d4""","=""3D""","=""1""",,
Ti,1,"=""898.8250""","=""0.0010""","=""11""","=""""",,"=""13981.773""","=""25107.411""","=""3d3.(4P).4s""","=""a 5P""","=""1""","=""3d2.(3F).4s.4p.(1P*)""","=""y 3F*""","=""2""",,
Fe,1,"=""898.9604""","=""0.0006""","=""38""","=""""",,"=""40207.091""","=""51331.052""","=""3d5.(6S).4s2.4p""","=""y 7P*""","=""3""","=""3d6.(5D).4s (6D).4d""","=""e 7F""","=""2""",,
Mg,1,"=""899.1494""","=""""","=""7""","=""""",,"=""47841.119""","=""58962.739""","=""3s.4p""","=""3P*""","=""0""","=""3s.8s""","=""3S""","=""1""",,
Ti,1,"=""899.1913""","=""0.0010""","=""150""","=""""",,"=""13981.773""","=""25102.875""","=""3d3.(4P).4s""","=""a 5P""","=""1""","=""3d2.(3P).4s.4p.(3P*)""","=""z 5S*""","=""2""",,
Mg,1,"=""899.4160""","=""""","=""9""","=""""",,"=""47844.414""","=""58962.739""","=""3s.4p""","=""3P*""","=""1""","=""3s.8s""","=""3S""","=""1""",,
Ti,1,"=""899.5778""","=""0.0010""","=""2""","=""""",,"=""29971.086""","=""41087.404""","=""3d2.(1G).4s.4p.(3P*)""","=""x 3G*""","=""4""","=""3d2.4s.(2F).5s""","=""e 1F""","=""3""",,
Fe,1,"=""899.7096""","=""0.0006""","=""21""","=""""",,"=""26406.465""","=""37521.161""","=""3d7.(2D2).4s""","=""a 3D""","=""1""","=""3d7.(4F).4p""","=""y 3F*""","=""2""",,
Mg,1,"=""899.9626""","=""""","=""10""","=""""",,"=""47851.162""","=""58962.739""","=""3s.4p""","=""3P*""","=""2""","=""3s.8s""","=""3S""","=""1""",,
Fe,1,"=""900.20265""","=""0.00024""","=""14500""","=""1.06e+06""",D+,"=""22838.323""","=""33946.933""","=""3d7.(4P).4s""","=""b 3P""","=""2""","=""3d6.(5D).4s.4p.(3P*)""","=""z 3P*""","=""2""",,
Fe,1,"=""900.9235""","=""0.0016""","=""155bl*""","=""""",,"=""43137.487""","=""54237.213""","=""3d6.(3H).4s.4p.(3P*)""","=""y 5G*""","=""3""","=""3d7.(4F).4d""","=""e 5H""","=""4""",,
Fe,1,"=""900.9235""","=""0.0016""","=""155bl*""","=""""",,"=""40231.336""","=""51331.052""","=""3d6.(5D).4s.4p.(1P*)""","=""x 5D*""","=""2""","=""3d6.(5D).4s (6D).4d""","=""e 7F""","=""2""",,
Fe,1,"=""901.08844""","=""0.00024""","=""112""","=""""",,"=""40871.412""","=""51969.101""","=""3d8""","=""3P""","=""2""","=""3d7.(2P).4p""","=""u 3D*""","=""3""",,
Fe,1,"=""901.30675""","=""0.00024""","=""650""","=""1.83e+04""",C+,"=""21038.987""","=""32133.991""","=""3d6.4s2""","=""b 3F2""","=""2""","=""3d6.(5D).4s.4p.(3P*)""","=""z 3F*""","=""2""",,
Fe,1,"=""901.45479""","=""0.00024""","=""1580""","=""4.46e+06""",C,"=""40257.314""","=""51350.492""","=""3d6.(5D).4s.4p.(1P*)""","=""x 5F*""","=""5""","=""3d6.(5D).4s (4D).5s""","=""g 5D""","=""4""",,
Fe,1,"=""901.64514""","=""0.00024""","=""132""","=""""",,"=""18378.186""","=""29469.024""","=""3d6.4s2""","=""a 3P2""","=""2""","=""3d6.(5D).4s.4p.(3P*)""","=""z 5P*""","=""2""",,
Mg,1,"=""901.848""","=""""","=""6""","=""""",,"=""49346.729""","=""60435.099""","=""3s.4p""","=""1P*""","=""1""","=""3s.10d""","=""1D""","=""2""",,
Fe,1,"=""902.22223""","=""0.00024""","=""148""","=""""",,"=""41130.599""","=""52214.345""","=""3d6.(5D).4s.4p.(1P*)""","=""x 5F*""","=""1""","=""3d6.(5D).4s (4D).5s""","=""g 5D""","=""1""",,
Ti,1,"=""902.6107""","=""0.0010""","=""22""","=""""",,"=""14028.436""","=""25107.411""","=""3d3.(4P).4s""","=""a 5P""","=""2""","=""3d2.(3F).4s.4p.(1P*)""","=""y 3F*""","=""2""",,
Fe,1,"=""902.68458""","=""0.00024""","=""1120""","=""""",,"=""39625.804""","=""50703.870""","=""3d6.(5D).4s.4p.(1P*)""","=""x 5D*""","=""4""","=""3d6.(5D).4s (6D).4d""","=""e 5G""","=""5""",,
Fe,1,"=""902.72288""","=""0.00024""","=""93""","=""""",,"=""40257.314""","=""51334.911""","=""3d6.(5D).4s.4p.(1P*)""","=""x 5F*""","=""5""","=""3d6.(5D).4s (6D).4d""","=""e 7G""","=""4""",,
Fe,1,"=""902.8919""","=""0.0016""","=""29bl""","=""""",,"=""40491.284""","=""51566.802""","=""3d6.(5D).4s.4p.(1P*)""","=""x 5D*""","=""0""","=""3d6.(5D).4s (6D).4d""","=""e 7G""","=""1""",,
Ti,1,"=""902.9490""","=""0.0010""","=""4""","=""""",,"=""18911.394""","=""29986.199""","=""3d3.(4P).4s""","=""c 3P""","=""2""","=""3d3.(4F).4p""","=""x 5D*""","=""3""",,
Ti,1,"=""902.9803""","=""0.0010""","=""320""","=""""",,"=""14028.436""","=""25102.875""","=""3d3.(4P).4s""","=""a 5P""","=""2""","=""3d2.(3P).4s.4p.(3P*)""","=""z 5S*""","=""2""",,
Fe,1,"=""903.31913""","=""0.00024""","=""58""","=""""",,"=""22946.816""","=""34017.103""","=""3d7.(4P).4s""","=""b 3P""","=""1""","=""3d7.(4F).4p""","=""y 5D*""","=""1""",,
Fe,1,"=""903.7159""","=""0.0007""","=""10""","=""""",,"=""42859.778""","=""53925.200""","=""3d6.(3P2).4s.4p.(3P*)""","=""x 5P*""","=""2""","=""3d7.(4F).4d""","=""f 5P""","=""1""",,
Fe,1,"=""903.92353""","=""0.00025""","=""46""","=""""",,"=""40231.336""","=""51294.220""","=""3d6.(5D).4s.4p.(1P*)""","=""x 5D*""","=""2""","=""3d6.(5D).4s (4D).5s""","=""e 3D""","=""3""",,
Ti,1,"=""904.3185""","=""0.0010""","=""2""","=""""",,"=""27418.029""","=""38476.084""","=""3d2.(1D).4s.4p.(3P*)""","=""x 3D*""","=""2""","=""3d4""","=""3D""","=""2""",,
Fe,1,"=""905.0251""","=""0.0007""","=""31""","=""""",,"=""41018.051""","=""52067.469""","=""3d6.(5D).4s.4p.(1P*)""","=""x 5F*""","=""2""","=""3d6.(5D).4s (6D).4d""","=""e 5P""","=""2""",,
Fe,1,"=""905.1833""","=""0.0007""","=""35""","=""""",,"=""43210.025""","=""54257.502""","=""3d6.(3H).4s.4p.(3P*)""","=""y 5G*""","=""2""","=""3d7.(4F).4d""","=""g 5F""","=""2""",,
Fe,1,"=""905.50784""","=""0.00025""","=""55""","=""""",,"=""43022.985""","=""54066.518""","=""3d6.(3H).4s.4p.(3P*)""","=""y 5G*""","=""4""","=""3d7.(4F).4d""","=""e 3G""","=""4""",,
Fe,1,"=""906.00983""","=""0.00009""","=""316""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",,
Fe,1,"=""906.0457""","=""0.0007""","=""13""","=""""",,"=""24574.655""","=""35611.625""","=""3d7.(2G).4s""","=""a 1G""","=""4""","=""3d7.(4F).4p""","=""z 5G*""","=""3""",,
Fe,1,"=""906.1247""","=""0.0007""","=""4170""","=""""",,"=""42532.741""","=""53568.751""","=""3d6.(3P2).4s.4p.(3P*)""","=""x 5P*""","=""3""","=""3d7.(4F).4d""","=""f 5P""","=""2""",,
Fe,1,"=""906.25022""","=""0.00009""","=""427""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",,
Fe,1,"=""906.47271""","=""0.00025""","=""186""","=""""",,"=""41018.051""","=""52049.823""","=""3d6.(5D).4s.4p.(1P*)""","=""x 5F*""","=""2""","=""3d6.(5D).4s (4D).5s""","=""g 5D""","=""2""",,
Fe,1,"=""906.7177""","=""0.0007""","=""5""","=""""",,"=""39969.853""","=""50998.645""","=""3d6.(5D).4s.4p.(1P*)""","=""x 5D*""","=""3""","=""3d6.(5D).4s (6D).4d""","=""f 7D""","=""2""",,
Fe,1,"=""907.1405""","=""0.0007""","=""11""","=""""",,"=""43137.487""","=""54161.139""","=""3d6.(3H).4s.4p.(3P*)""","=""y 5G*""","=""3""","=""3d7.(4F).4d""","=""f 5G""","=""3""",,
Fe,1,"=""907.28922""","=""0.00025""","=""117""","=""""",,"=""41018.051""","=""52039.892""","=""3d6.(5D).4s.4p.(1P*)""","=""x 5F*""","=""2""","=""3d6.(5D).4s (4D).5s""","=""e 3D""","=""1""",,
Fe,1,"=""908.10629""","=""0.00025""","=""27""","=""""",,"=""40207.091""","=""51219.015""","=""3d5.(6S).4s2.4p""","=""y 7P*""","=""3""","=""3d6.(5D).4s (6D).4d""","=""e 5G""","=""3""",,
Fe,1,"=""908.20725""","=""0.00025""","=""810""","=""""",,"=""37521.161""","=""48531.865""","=""3d7.(4F).4p""","=""y 3F*""","=""2""","=""3d7.(4F).5s""","=""e 3F""","=""3""",,
Fe,1,"=""908.2879""","=""0.0016""","=""380bl""","=""""",,"=""39969.853""","=""50979.579""","=""3d6.(5D).4s.4p.(1P*)""","=""x 5D*""","=""3""","=""3d6.(5D).4s (6D).4d""","=""e 5G""","=""4""",,
Fe,1,"=""908.66782""","=""0.00025""","=""43""","=""""",,"=""34328.752""","=""45333.875""","=""3d7.(4F).4p""","=""y 5F*""","=""3""","=""3d6.(5D).4s (6D).5s""","=""e 5D""","=""2""",,
Fe,1,"=""908.70898""","=""0.00009""","=""275""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",,
Fe,1,"=""908.79136""","=""0.00025""","=""155""","=""""",,"=""45428.402""","=""56432.021""","=""3d6.(3H).4s.4p.(3P*)""","=""y 3G*""","=""4""","=""3d6.4s.(6D).5d""","=""7D""","=""5""",,
Ti,1,"=""908.8151""","=""0.0010""","=""2*""","=""""",,"=""18911.394""","=""29914.737""","=""3d3.(4P).4s""","=""c 3P""","=""2""","=""3d2.(1G).4s.4p.(3P*)""","=""x 3G*""","=""3""",,
Ti,1,"=""908.8151""","=""0.0010""","=""2*""","=""""",,"=""18825.782""","=""29829.112""","=""3d3.(4P).4s""","=""c 3P""","=""1""","=""3d3.(4F).4p""","=""x 5D*""","=""0""",,
Fe,1,"=""908.8928""","=""0.0007""","=""129""","=""""",,"=""41178.412""","=""52180.820""","=""3d8""","=""3P""","=""1""","=""3d7.(2P).4p""","=""1P*""","=""1""",,
Ti,1,"=""908.9441""","=""0.0010""","=""36""","=""""",,"=""14105.634""","=""25107.411""","=""3d3.(4P).4s""","=""a 5P""","=""3""","=""3d2.(3F).4s.4p.(1P*)""","=""y 3F*""","=""2""",,
Ti,1,"=""909.0172""","=""0.0010""","=""18""","=""""",,"=""18911.394""","=""29912.286""","=""3d3.(4P).4s""","=""c 3P""","=""2""","=""3d2.(3F).4s.4p.(1P*)""","=""w 3D*""","=""3""",,
Fe,1,"=""909.08126""","=""0.00025""","=""3550""","=""2.17e+05""",D,"=""22946.816""","=""33946.933""","=""3d7.(4P).4s""","=""b 3P""","=""1""","=""3d6.(5D).4s.4p.(3P*)""","=""z 3P*""","=""2""",,
Fe,1,"=""909.1002""","=""0.0007""","=""93""","=""""",,"=""47812.118""","=""58812.015""","=""3d6.(3F2).4s.4p.(3P*)""","=""x 3G*""","=""4""","=""3d7.(4F).5d""","=""3G""","=""5""",,
Fe,1,"=""909.18987""","=""0.00025""","=""1740""","=""1.55e+05""",D+,"=""23783.619""","=""34782.421""","=""3d6.4s2""","=""b 3G""","=""5""","=""3d7.(4F).4p""","=""z 5G*""","=""5""",,
Ti,1,"=""909.3189""","=""0.0010""","=""520""","=""""",,"=""14105.634""","=""25102.875""","=""3d3.(4P).4s""","=""a 5P""","=""3""","=""3d2.(3P).4s.4p.(3P*)""","=""z 5S*""","=""2""",,
Ti,1,"=""909.3744""","=""0.0010""","=""6""","=""""",,"=""20209.447""","=""31206.007""","=""3d3.(2D2).4s""","=""b 1D""","=""2""","=""3d2.(3P).4s.4p.(3P*)""","=""v 3D*""","=""3""",,
Ti,1,"=""909.3765""","=""0.0010""","=""4""","=""""",,"=""27480.066""","=""38476.615""","=""3d2.(1D).4s.4p.(3P*)""","=""x 3D*""","=""3""","=""3d4""","=""3D""","=""3""",,
Fe,1,"=""909.4159""","=""0.0007""","=""6""","=""""",,"=""40052.035""","=""51048.107""","=""3d5.(6S).4s2.4p""","=""y 7P*""","=""2""","=""3d6.(5D).4s (6D).4d""","=""f 7D""","=""1""",,
Fe,1,"=""909.4973""","=""0.0007""","=""16""","=""""",,"=""40842.154""","=""51837.238""","=""3d6.(5D).4s.4p.(1P*)""","=""x 5F*""","=""3""","=""3d6.(5D).4s (6D).4d""","=""e 5P""","=""3""",,
Fe,1,"=""909.84382""","=""0.00009""","=""740""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",,
Fe,1,"=""910.11017""","=""0.00025""","=""68""","=""""",,"=""40231.336""","=""51219.015""","=""3d6.(5D).4s.4p.(1P*)""","=""x 5D*""","=""2""","=""3d6.(5D).4s (6D).4d""","=""e 5G""","=""3""",,
Fe,1,"=""910.29434""","=""0.00025""","=""158""","=""""",,"=""39625.804""","=""50611.261""","=""3d6.(5D).4s.4p.(1P*)""","=""x 5D*""","=""4""","=""3d6.(5D).4s (6D).4d""","=""e 7P""","=""3""",,
Fe,1,"=""910.31721""","=""0.00025""","=""148""","=""""",,"=""40207.091""","=""51192.273""","=""3d5.(6S).4s2.4p""","=""y 7P*""","=""3""","=""3d6.(5D).4s (6D).4d""","=""e 7F""","=""4""",,
Fe,1,"=""910.61356""","=""0.00025""","=""102""","=""""",,"=""33695.397""","=""44677.006""","=""3d7.(4F).4p""","=""y 5F*""","=""5""","=""3d6.(5D).4s (6D).5s""","=""e 5D""","=""4""",,
Fe,1,"=""911.47427""","=""0.00025""","=""76""","=""""",,"=""40257.314""","=""51228.553""","=""3d6.(5D).4s.4p.(1P*)""","=""x 5F*""","=""5""","=""3d6.(5D).4s (6D).4d""","=""e 7G""","=""5""",,
Fe,1,"=""911.94066""","=""0.00025""","=""55""","=""""",,"=""40404.518""","=""51370.145""","=""3d6.(5D).4s.4p.(1P*)""","=""x 5D*""","=""1""","=""3d6.(5D).4s (6D).4d""","=""e 5G""","=""2""",,
Fe,1,"=""911.96345""","=""0.00025""","=""62""","=""""",,"=""23051.750""","=""34017.103""","=""3d7.(4P).4s""","=""b 3P""","=""0""","=""3d7.(4F).4p""","=""y 5D*""","=""1""",,
Fe,1,"=""912.13838""","=""0.00025""","=""810""","=""1.23e+05""",D+,"=""22838.323""","=""33801.572""","=""3d7.(4P).4s""","=""b 3P""","=""2""","=""3d7.(4F).4p""","=""y 5D*""","=""2""",,
Fe,1,"=""912.24730""","=""0.00025""","=""23""","=""""",,"=""34547.211""","=""45509.152""","=""3d7.(4F).4p""","=""y 5F*""","=""2""","=""3d6.(5D).4s (6D).5s""","=""e 5D""","=""1""",,
Ti,1,"=""912.5705""","=""0.0010""","=""72""","=""""",,"=""25107.411""","=""36065.466""","=""3d2.(3F).4s.4p.(1P*)""","=""y 3F*""","=""2""","=""3d4""","=""b 3G""","=""3""",,
Fe,1,"=""912.6084""","=""0.0007""","=""16""","=""""",,"=""43108.917""","=""54066.518""","=""3d6.(3H).4s.4p.(3P*)""","=""z 5H*""","=""4""","=""3d7.(4F).4d""","=""e 3G""","=""4""",,
Fe,1,"=""913.5248""","=""0.0017""","=""17bl""","=""""",,"=""40052.035""","=""50998.645""","=""3d5.(6S).4s2.4p""","=""y 7P*""","=""2""","=""3d6.(5D).4s (6D).4d""","=""f 7D""","=""2""",,
Ti,1,"=""913.8352""","=""0.0010""","=""9""","=""""",,"=""18825.782""","=""29768.675""","=""3d3.(4P).4s""","=""c 3P""","=""1""","=""3d2.(3F).4s.4p.(1P*)""","=""w 3D*""","=""2""",,
Fe,1,"=""913.9247""","=""0.0003""","=""34""","=""""",,"=""40207.091""","=""51148.910""","=""3d5.(6S).4s2.4p""","=""y 7P*""","=""3""","=""3d6.(5D).4s (6D).4d""","=""e 5S""","=""2""",,
Fe,1,"=""913.9301""","=""0.0003""","=""76""","=""""",,"=""40207.091""","=""51148.848""","=""3d5.(6S).4s2.4p""","=""y 7P*""","=""3""","=""3d6.(5D).4s (6D).4d""","=""e 7F""","=""3""",,
Fe,1,"=""914.2626""","=""0.0003""","=""48""","=""""",,"=""26224.969""","=""37162.746""","=""3d7.(2D2).4s""","=""a 3D""","=""3""","=""3d7.(4F).4p""","=""y 3F*""","=""3""",,
Ti,1,"=""914.7614""","=""0.0010""","=""4""","=""""",,"=""26892.936""","=""37824.758""","=""3d2.(1D).4s.4p.(3P*)""","=""x 3F*""","=""3""","=""3d2.4s.(4F).5s""","=""e 3F""","=""4""",,
Fe,1,"=""914.8639""","=""0.0003""","=""1320""","=""1.79e+04""",C+,"=""20874.482""","=""31805.071""","=""3d6.4s2""","=""b 3F2""","=""3""","=""3d6.(5D).4s.4p.(3P*)""","=""z 3F*""","=""3""",,
Fe,1,"=""914.9729""","=""0.0007""","=""10""","=""""",,"=""43137.487""","=""54066.773""","=""3d6.(3H).4s.4p.(3P*)""","=""y 5G*""","=""3""","=""3d7.(4F).4d""","=""f 3D""","=""2""",,
Fe,1,"=""915.0217""","=""0.0003""","=""107""","=""""",,"=""42911.917""","=""53840.620""","=""3d6.(3H).4s.4p.(3P*)""","=""y 5G*""","=""5""","=""3d7.(4F).4d""","=""e 3H""","=""6""",,
Fe,1,"=""915.0468""","=""0.0003""","=""195""","=""""",,"=""40842.154""","=""51770.557""","=""3d6.(5D).4s.4p.(1P*)""","=""x 5F*""","=""3""","=""3d6.(5D).4s (4D).5s""","=""g 5D""","=""3""",,
Fe,1,"=""915.2035""","=""0.0003""","=""18""","=""""",,"=""40404.518""","=""51331.052""","=""3d6.(5D).4s.4p.(1P*)""","=""x 5D*""","=""1""","=""3d6.(5D).4s (6D).4d""","=""e 7F""","=""2""",,
Na,1,"=""915.639""","=""0.002""","=""4*""","=""5.3e+05""",C',"=""29172.837""","=""40094.19""","=""2p6.3d""","=""2D""","=""5/2""","=""2p6.9f""","=""2F*""","=""7/2""",,
Na,1,"=""915.639""","=""0.002""","=""4*""","=""3.5e+04""",C',"=""29172.837""","=""40094.19""","=""2p6.3d""","=""2D""","=""5/2""","=""2p6.9f""","=""2F*""","=""5/2""",,
Fe,1,"=""915.8160""","=""0.0003""","=""29""","=""""",,"=""41130.599""","=""52049.823""","=""3d6.(5D).4s.4p.(1P*)""","=""x 5F*""","=""1""","=""3d6.(5D).4s (4D).5s""","=""g 5D""","=""2""",,
Fe,1,"=""915.8719""","=""0.0003""","=""65""","=""""",,"=""24338.767""","=""35257.324""","=""3d6.4s2""","=""b 3G""","=""3""","=""3d7.(4F).4p""","=""z 5G*""","=""4""",,
Fe,1,"=""915.9594""","=""0.0003""","=""204""","=""""",,"=""40231.336""","=""51148.848""","=""3d6.(5D).4s.4p.(1P*)""","=""x 5D*""","=""2""","=""3d6.(5D).4s (6D).4d""","=""e 7F""","=""3""",,
Fe,1,"=""916.6497""","=""0.0003""","=""78""","=""""",,"=""41130.599""","=""52039.892""","=""3d6.(5D).4s.4p.(1P*)""","=""x 5F*""","=""1""","=""3d6.(5D).4s (4D).5s""","=""e 3D""","=""1""",,
Fe,1,"=""916.7086""","=""0.0003""","=""129""","=""""",,"=""39625.804""","=""50534.397""","=""3d6.(5D).4s.4p.(1P*)""","=""x 5D*""","=""4""","=""3d6.(5D).4s (6D).4d""","=""f 5D""","=""3""",,
Ti,1,"=""917.0057""","=""0.0010""","=""91""","=""""",,"=""25227.222""","=""36132.283""","=""3d2.(3F).4s.4p.(1P*)""","=""y 3F*""","=""3""","=""3d4""","=""b 3G""","=""4""",,
Fe,1,"=""917.1839""","=""0.0007""","=""10""","=""""",,"=""34692.148""","=""45595.086""","=""3d7.(4F).4p""","=""y 5F*""","=""1""","=""3d6.(5D).4s (6D).5s""","=""e 5D""","=""0""",,
Fe,1,"=""917.2296""","=""0.0007""","=""21""","=""""",,"=""46888.517""","=""57790.909""","=""3d7.(4P).4p""","=""u 5D*""","=""2""","=""3d7.(4F).6s""","=""3F""","=""2""",,
Ti,1,"=""917.2961""","=""0.0010""","=""11""","=""""",,"=""31628.688""","=""42530.2894""","=""3d3.(4F).4p""","=""w 3G*""","=""5""","=""3d2.4s.(4F).4d""","=""3H""","=""6""",,
Fe,1,"=""917.5713""","=""0.0003""","=""234""","=""""",,"=""21038.987""","=""31937.325""","=""3d6.4s2""","=""b 3F2""","=""2""","=""3d6.(5D).4s.4p.(3P*)""","=""z 3D*""","=""1""",,
Fe,1,"=""917.6061""","=""0.0013""","=""4370""","=""""",,"=""47812.118""","=""58710.047""","=""3d6.(3F2).4s.4p.(3P*)""","=""x 3G*""","=""4""","=""3d6.(5D).4s (4D).4d""","=""g 5G""","=""3""",,
Fe,1,"=""917.6193""","=""0.0003""","=""132""","=""""",,"=""40842.154""","=""51739.920""","=""3d6.(5D).4s.4p.(1P*)""","=""x 5F*""","=""3""","=""3d6.(5D).4s (4D).5s""","=""e 3D""","=""2""",,
Fe,1,"=""917.6479""","=""0.0003""","=""16""","=""""",,"=""26623.735""","=""37521.161""","=""3d7.(2D2).4s""","=""a 3D""","=""2""","=""3d7.(4F).4p""","=""y 3F*""","=""2""",,
Fe,1,"=""917.6736""","=""0.0013""","=""45""","=""""",,"=""43633.533""","=""54530.653""","=""3d6.(5D).4s (6D).5s""","=""e 7D""","=""2""","=""3d7.(4F).5p""","=""5D*""","=""2""",,
Fe,1,"=""918.1079""","=""0.0003""","=""132""","=""""",,"=""39969.853""","=""50861.816""","=""3d6.(5D).4s.4p.(1P*)""","=""x 5D*""","=""3""","=""3d6.(5D).4s (6D).4d""","=""f 7D""","=""3""",,
Fe,1,"=""918.1490""","=""0.0003""","=""16""","=""""",,"=""39969.853""","=""50861.327""","=""3d6.(5D).4s.4p.(1P*)""","=""x 5D*""","=""3""","=""3d6.(5D).4s (6D).4d""","=""e 7P""","=""2""",,
Fe,1,"=""918.2262""","=""0.0003""","=""51""","=""""",,"=""36940.590""","=""47831.153""","=""3d7.(2F).4s""","=""d 3F""","=""2""","=""3d6.(3G).4s.4p.(3P*)""","=""w 5G*""","=""2""",,
Fe,1,"=""918.3541""","=""0.0003""","=""148""","=""""",,"=""45562.974""","=""56452.018""","=""3d6.(3H).4s.4p.(3P*)""","=""y 3G*""","=""3""","=""3d6.4s.(6D).5d""","=""7D""","=""4""",,
Fe,1,"=""918.7746""","=""0.0007""","=""13""","=""""",,"=""37045.934""","=""47929.997""","=""3d7.(2F).4s""","=""d 3F""","=""4""","=""3d6.(3G).4s.4p.(3P*)""","=""v 5F*""","=""4""",,
Fe,1,"=""919.1930""","=""0.0007""","=""9""","=""""",,"=""37157.566""","=""48036.673""","=""3d6.(5D).4s.4p.(1P*)""","=""y 5P*""","=""2""","=""3d7.(4F).5s""","=""e 5F""","=""2""",,
Ti,1,"=""919.2355""","=""0.0010""","=""8""","=""""",,"=""31489.476""","=""42368.0934""","=""3d3.(4F).4p""","=""w 3G*""","=""4""","=""3d2.4s.(4F).4d""","=""3H""","=""5""",,
Fe,1,"=""919.7667""","=""0.0017""","=""5600""","=""""",,"=""48163.446""","=""59035.762""","=""3d5.(6S).4s2.4p""","=""v 5P*""","=""2""","=""3d6.4s.(6D).7s""","=""5D""","=""2""",,
Fe,1,"=""920.1970""","=""0.0003""","=""93""","=""""",,"=""40594.432""","=""51461.670""","=""3d6.(5D).4s.4p.(1P*)""","=""x 5F*""","=""4""","=""3d6.(5D).4s (6D).4d""","=""f 5F""","=""4""",,
Fe,1,"=""920.66221""","=""0.00009""","=""2000""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",,
